ID;transportType;provider;routeNumber;fromCity;toCity;departureTime;arrivalTime;durationHours;price;availableSeats;daysOfWeek;classType
bbbb0001-0000-0000-0000-000000000001;flight;IndiGo;6E-345;Mumbai;Goa;08:30;09:45;1.25;3500.00;120;Daily;Economy
bbbb0002-0000-0000-0000-000000000002;flight;Vistara;UK-823;Mumbai;Goa;14:15;15:30;1.25;4200.00;150;Daily;Economy
bbbb0003-0000-0000-0000-000000000003;flight;Air India;AI-661;Delhi;Goa;06:00;08:45;2.75;5800.00;180;Daily;Economy
bbbb0004-0000-0000-0000-000000000004;train;IRCTC;12779;Mumbai;Goa;22:25;11:20;13.00;1850.00;72;Daily;AC 3-Tier
bbbb0005-0000-0000-0000-000000000005;flight;IndiGo;6E-2143;Delhi;Manali;05:50;07:25;1.58;4500.00;120;Daily;Economy
bbbb0006-0000-0000-0000-000000000006;bus;Volvo Sleeper;VOL-401;Delhi;Manali;19:30;09:30;14.00;1500.00;40;Daily;Sleeper
bbbb0007-0000-0000-0000-000000000007;flight;Vistara;UK-635;Delhi;Mumbai;07:00;09:10;2.17;6500.00;180;Daily;Economy
bbbb0008-0000-0000-0000-000000000008;flight;IndiGo;6E-101;Delhi;Mumbai;09:30;11:45;2.25;5800.00;180;Daily;Economy
bbbb0009-0000-0000-0000-000000000009;train;IRCTC;12952;Delhi;Mumbai;16:55;08:35;15.67;2400.00;72;Daily;AC 2-Tier
bbbb0010-0000-0000-0000-000000000010;flight;Air India;AI-665;Mumbai;Jaipur;11:30;13:00;1.50;4800.00;150;Daily;Economy
bbbb0011-0000-0000-0000-000000000011;flight;IndiGo;6E-577;Delhi;Jaipur;06:45;07:40;0.92;3200.00;120;Daily;Economy
bbbb0012-0000-0000-0000-000000000012;train;IRCTC;12015;Delhi;Jaipur;06:05;10:30;4.42;850.00;72;Daily;AC Chair Car
bbbb0013-0000-0000-0000-000000000013;flight;IndiGo;6E-877;Mumbai;Kochi;09:15;10:50;1.58;4600.00;120;Daily;Economy
bbbb0014-0000-0000-0000-000000000014;flight;Air India;AI-668;Delhi;Kochi;05:30;08:30;3.00;6200.00;150;Daily;Economy
bbbb0015-0000-0000-0000-000000000015;bus;KSRTC Volvo;KSRTC-501;Kochi;Alleppey;07:00;08:30;1.50;250.00;45;Daily;AC Seater
bbbb0016-0000-0000-0000-000000000016;flight;IndiGo;6E-203;Delhi;Shimla;05:45;07:00;1.25;4800.00;72;Daily;Economy
bbbb0017-0000-0000-0000-000000000017;bus;HRTC Volvo;HRTC-301;Delhi;Shimla;20:00;06:30;10.50;1100.00;40;Daily;Volvo AC Sleeper
bbbb0018-0000-0000-0000-000000000018;train;IRCTC;14095;Delhi;Kalka;23:00;05:00;6.00;750.00;72;Daily;AC 3-Tier
bbbb0019-0000-0000-0000-000000000019;flight;Vistara;UK-987;Mumbai;Udaipur;13:45;15:10;1.42;5200.00;150;Daily;Economy
bbbb0020-0000-0000-0000-000000000020;flight;IndiGo;6E-401;Delhi;Udaipur;07:30;08:55;1.42;4100.00;120;Daily;Economy
bbbb0021-0000-0000-0000-000000000021;train;IRCTC;12963;Mumbai;Udaipur;19:15;10:20;15.08;2100.00;72;Daily;AC 3-Tier
bbbb0022-0000-0000-0000-000000000022;flight;IndiGo;6E-855;Kolkata;Bagdogra;08:30;09:35;1.08;3800.00;120;Daily;Economy
bbbb0023-0000-0000-0000-000000000023;flight;Air India;AI-757;Delhi;Bagdogra;06:15;08:30;2.25;5400.00;150;Daily;Economy
bbbb0024-0000-0000-0000-000000000024;train;IRCTC;13149;Kolkata;New Jalpaiguri;19:35;08:15;12.67;1650.00;72;Daily;AC 3-Tier
bbbb0025-0000-0000-0000-000000000025;flight;IndiGo;6E-789;Bangalore;Goa;06:30;07:45;1.25;3900.00;120;Daily;Economy